startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-10-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2513,12112.89,905.6901,1549.048,2928.482,5014.321
2017-10-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2023,19599.39,1015.457,1656.935,3140.616,5352.791
2017-10-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1919,11290.67,950.2063,1654.187,3081.485,5745.038
2017-10-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2274,14121.98,920.2842,1641.842,3064.765,4996.111
2017-10-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2001,8325.146,905.9369,1672.307,3265.627,5109.656
2017-10-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2695,10179.43,965.0294,1750.049,3312.604,4970.246
2017-10-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2398,19222.73,972.3793,1721.498,3385.256,5938.314
2017-10-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2365,11866.04,963.3466,1624.619,3203.087,5433.569
2017-10-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2076,19234.25,1027.357,1812.517,3324.792,6216.667
2017-10-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1946,7447.798,960.4135,1717.875,3091.967,4909.243
2017-10-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3643,42186.66,1152.093,2145.581,4968.545,42049.73
2017-10-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,4260,116207.9,1315.754,2596.348,15604.03,34669.85
2017-11-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,4493,60123.57,1329.936,2562.448,6205.013,12705.95
2017-11-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2730,62043.66,967.7109,1738.645,3452.433,6525.721
